size in Bytes
ID;Name;Size;CRC32;MD5;Serial;#Trusted;Status
"0704";"Star Wars Episode I - Racer (USA)";"33554432";"C53C1035";"1EE8800A4003E7F9688C5A35F929D01B";"NEPE ";0;"Not verified"
"0705";"StarCraft 64 (Australia)";"33554432";"2639DAE2";"72B60FAC5EE257FA387B43C57632D50C";"NSQP NUS-NSQP-AUS";2;"Verified"
"0706";"StarCraft 64 (USA)";"33554432";"4E4C7EC9";"559F71B861F639B6376D891E3023414B";"NSQE ";0;"Not verified"
"0707";"StarCraft 64 (USA) (Beta)";"33554432";"B0E1654F";"3EB732A8D004263AD8EB0DA59A29582A";" ";0;"Not verified"
"0708";"Starshot - Space Circus Fever (Europe) (En,Fr,De)";"12582912";"056D2218";"A9C393AA232B32798ADF378F4318F99F";"NSCP NUS-NSCP-UKV";2;"Verified"
"0709";"Starshot - Space Circus Fever (USA) (En,Fr,Es)";"12582912";"7720E5F3";"42AF1992978229BBB5F560571708E25E";"NSCE ";0;"Not verified"
"0710";"Stunt Racer 64 (USA)";"12582912";"3438B1AF";"E8B666A429FEDB2A1A1228CD450CD4FC";"NR3E ";0;"Not verified"
"0711";"Super B-Daman - Battle Phoenix 64 (Japan)";"12582912";"5006DC88";"B3C1D4B9EC7DCD2922E681DBBC393915";"NB6J NUS-NB6J-JPN";1;"Trusted"
"0712";"Super Bowling (Japan)";"8388608";"BA2D8B2E";"09C5B4D19364EFE48BB818087734978E";"NBWJ NUS-NBWJ-JPN";1;"Trusted"
"0713";"Super Bowling (USA)";"8388608";"F6CCD04A";"FA3A043997A3ACDF17337385B126BC04";"NBWE ";0;"Not verified"
"0714";"Super Mario 64 (Europe) (En,Fr,De)";"8388608";"03048DE6";"45676429EF6B90E65B517129B700308E";"NSMP NUS-NSMP-EUR, NSMP";4;"Verified"
"0715";"Super Mario 64 (Japan)";"8388608";"DD801954";"85D61F5525AF708C9F1E84DCE6DC10E9";"NSMJ NUS-NSMJ-JPN";2;"Verified"
"0716";"Super Mario 64 (Japan) (Rev 3) (Shindou Edition)";"8388608";"A1E15117";"2D727C3278AA232D94F2FB45AEC4D303";"NSMJ NUS-NSMJ-JPN-1";2;"Verified"
"0717";"Super Mario 64 (USA)";"8388608";"3CE60709";"20B854B239203BAF6C961B850A4A51A2";"NSME NUS-NSME-USA";3;"Verified"
"0718";"Super Robot Spirits (Japan)";"16777216";"8C9216C1";"3EC3F83EAB22702E146C467EB1DB45FA";"NSSJ NUS-NSSJ-JPN";1;"Trusted"
"0719";"Super Robot Taisen 64 (Japan)";"33554432";"85DF2771";"3F4B73963ABC91CEE59C416063EFD4AE";"NS4J NUS-NS4J-JPN";1;"Trusted"
"0720";"Super Smash Bros. (Australia)";"16777216";"E96779FA";"694DEA68DBF1C3F06FF0476ACF2169E6";"NALU NUS-NALU-AUS";1;"Trusted"
"0721";"Super Smash Bros. (Europe) (En,Fr,De)";"33554432";"45A91CB1";"5E54C6C563B09C107F86FB33E914EF81";"NALP NUS-NALP-EUR";2;"Verified"
"0722";"Super Smash Bros. (USA)";"16777216";"EB97929E";"F7C52568A31AADF26E14DC2B6416B2ED";"NALE NUS-NALE-USA";2;"Verified"
"0723";"Super Speed Race 64 (Japan)";"4194304";"0F879A70";"6B5D93B3566E96147009D1AC4FB15C97";"NLCJ NUS-NLCJ-JPN";1;"Trusted"
"0724";"Supercross 2000 (Europe) (En,Fr,De)";"16777216";"CB5482EC";"6D58A01EF7A7A7C779D2A66315992C5F";"NSXP NUS-NSXP-EUR";1;"Trusted"
"0725";"Supercross 2000 (USA)";"16777216";"094E2A48";"60347200A1A7CABC0D849EE69EC51DF7";"NSXE ";0;"Not verified"
"0726";"Superman (Europe) (En,Fr,De,Es,It,Nl)";"8388608";"BCA4FF8C";"5AB39F2D7A144E1BA243DF059560E878";"NSPP NUS-NSPP-EUR";1;"Trusted"
"0727";"Superman - The New Superman Aventures (USA) (En,Fr,Es)";"8388608";"437E3677";"3F64B4F72E61225EF3AE93976C9BFC7C";"NSPE ";0;"Not verified"
"0728";"Susume! Taisen Puzzle Dama - Toukon! Marutama Chou (Japan)";"8388608";"4CD21372";"26F4CA20F7B9C88199AC046C57E282B4";"NPZJ NUS-NPZJ-JPN";1;"Trusted"
"0729";"Tarzan (Europe)";"16777216";"7737ED9E";"BD1DE2FC1CF31096423563A40ECBF933";"NTAP NUS-NTAP-UKV";1;"Trusted"
"0730";"Tarzan (France)";"16777216";"99C7649D";"5D82E903F65341487DDC11AF80AD607A";"NTAF ";0;"Not verified"
